CHR,P
19,1.817
16,0.878
16,0.253
16,0.628
19,1.192
7,0.297
7,0.172
23,1.129
23,0.23
11,2.407
2,0.653
2,0.278
2,0.403
2,0.528
2,0.778
2,0.903
18,0.028
16,1.244
16,0.095
16,0.22
23,0.197
23,0.322
23,0.447
14,0.241
14,0.366
14,0.741
8,1.226
8,1.351
5,0.285
5,0.41
18,0.678
18,0.553
13,0.563
13,0.938
6,1.124
6,1.749
23,0.164
17,-0.0
17,0.625
17,0.125
17,0.75
17,0.375
17,0.875
17,0.5
8,0.419
8,0.294
21,0.937
18,1.294
18,1.544
18,1.169
9,1.465
15,0.146
3,0.4
3,0.525
6,1.464
3,0.275
3,0.9
3,0.775
6,1.964
6,1.214
17,0.092
17,0.217
10,1.151
18,1.009
22,0.044
14,1.088
15,0.863
9,1.305
9,1.805
15,0.363
9,1.18
15,0.238
15,0.738
9,1.43
2,2.741
3,1.516
3,1.641
6,0.282
6,0.407
19,0.55
22,0.09
22,0.215
7,1.078
1,0.888
1,0.263
1,0.513
1,0.388
1,0.138
1,0.638
1,0.763
22,0.182
22,0.432
4,0.354
4,0.479
7,1.418
7,1.043
4,0.854
4,0.604
4,0.979
23,0.827
23,0.702
11,1.605
11,0.206
16,0.567
16,0.942
20,0.547
17,2.553
20,0.797
20,0.922
11,0.423
11,0.298
18,0.104
2,0.592
2,0.967
5,1.531
5,1.156
2,0.717
2,0.842
1,1.11
1,1.235
1,1.985
4,1.451
21,0.159
18,0.492
18,0.617
18,0.367
18,0.242
18,0.867
18,0.742
9,0.663
9,0.788
9,0.913
9,0.538
17,0.689
17,0.814
20,1.003
17,0.564
19,0.305
19,0.18
10,0.849
10,0.974
10,0.474
10,0.349
10,0.599
21,0.376
21,0.126
21,0.751
21,0.876
21,0.501
12,2.593
12,0.295
12,0.42
14,0.536
14,0.661
14,0.786
2,1.439
3,0.714
3,0.964
3,0.589
2,1.064
2,1.814
5,0.455
5,0.33
19,0.147
8,0.014
7,0.401
7,0.276
7,0.901
7,0.526
7,0.651
12,2.058
8,2.012
2,1.904
2,1.029
2,1.404
19,0.239
19,0.614
19,0.739
19,0.364
19,0.864
13,1.224
23,0.676
17,1.536
17,1.161
17,1.036
17,1.786
17,1.286
20,0.302
20,0.177
20,0.427
21,1.223
13,0.292
13,0.417
15,0.658
15,0.908
15,0.783
6,0.327
6,0.202
6,0.452
20,0.144
17,1.126
17,1.251
17,1.626
8,0.398
8,0.898
8,0.523
8,0.773
8,0.648
1,0.683
1,0.558
1,0.808
20,3.607
15,1.024
3,2.177
15,0.342
15,0.467
18,2.635
16,0.362
16,0.487
16,0.237
16,0.987
16,0.612
19,1.426
16,0.862
23,1.238
9,0.727
9,0.602
9,0.352
9,0.477
9,0.852
12,1.166
11,0.468
12,1.416
8,1.12
11,0.343
8,1.245
8,1.62
2,0.387
2,0.137
2,0.762
2,0.512
2,0.637
2,0.887
2,0.262
16,1.103
16,1.478
16,0.204
4,0.458
4,0.333
23,0.306
23,0.431
23,0.181
14,0.725
14,0.6
14,0.35
14,0.475
14,0.85
14,0.975
8,1.085
23,0.102
18,0.912
18,0.662
18,0.537
6,1.108
6,1.358
23,0.148
17,0.484
17,0.609
17,0.984
21,0.671
21,0.796
18,1.153
12,0.34
12,0.465
3,0.509
3,0.634
3,0.259
3,0.759
3,0.384
3,0.884
6,1.573
6,1.073
6,1.323
10,1.135
1,0.03
1,0.155
14,1.322
15,0.597
15,0.847
15,0.722
15,0.972
15,0.347
9,1.039
2,2.85
3,1.125
3,1.875
3,0.226
3,1.0
1,0.076
19,0.534
7,1.062
7,1.187
10,0.328
10,0.453
10,0.203
1,0.122
1,0.372
1,0.497
1,0.997
1,0.872
1,0.622
1,0.747
11,1.749
11,1.624
11,1.249
11,1.374
11,1.124
5,0.559
5,0.809
2,2.69
5,0.684
1,0.043
22,2.214
22,0.291
22,0.416
13,0.337
13,0.462
4,0.838
4,0.713
7,1.152
7,1.527
4,0.588
4,0.963
7,1.277
11,1.089
11,1.839
4,1.079
20,0.531
20,0.281
20,0.656
11,0.282
11,0.407
2,0.576
2,0.826
5,1.39
2,0.701
1,1.594
1,1.094
1,1.469
6,0.556
6,0.806
6,0.681
21,0.143
18,0.476
18,0.726
18,0.351
18,0.851
18,0.601
18,0.976
9,0.772
9,0.897
9,0.397
9,0.522
9,0.272
9,0.647
10,0.583
10,0.958
21,0.235
21,0.61
21,0.485
12,2.077
2,1.048
2,1.423
3,0.948
3,0.573
3,0.823
2,1.173
5,0.439
5,0.314
2,1.673
16,0.341
16,0.466
3,0.029
7,0.26
7,0.385
7,0.51
7,0.76
7,0.635
5,0.11
5,0.156
19,0.348
19,0.473
22,1.287
22,1.037
19,0.598
13,1.083
5,0.077
23,0.66
23,0.785
23,0.535
17,1.27
14,0.454
14,0.329
20,0.411
20,0.286
8,0.165
5,0.123
5,0.748
5,0.498
5,0.373
5,0.248
5,0.623
5,0.873
6,2.234
6,0.436
6,0.061
6,0.311
17,0.463
17,0.338
8,0.757
8,0.382
8,0.257
8,0.882
8,0.507
8,0.632
6,0.107
1,0.667
1,0.792
1,0.542
15,0.234
2,0.811
20,0.345
20,0.47
20,0.845
22,0.461
6,0.074
11,2.16
15,0.201
15,0.451
15,0.326
6,0.37
6,0.495
6,0.87
6,0.245
6,0.62
6,0.745
16,0.471
16,0.721
16,0.596
16,0.346
19,1.41
16,0.846
10,0.557
10,0.682
10,0.807
4,0.225
9,0.711
9,0.586
9,0.836
12,1.4
12,1.025
9,0.961
8,1.354
8,1.229
2,0.746
2,0.246
2,0.621
2,0.871
2,0.371
2,0.121
2,0.496
16,1.712
4,0.442
4,0.192
4,0.317
23,0.29
23,0.415
14,0.834
14,0.584
2,0.213
2,0.088
18,0.396
18,0.271
18,0.521
18,0.646
18,0.771
6,1.092
6,1.592
11,0.386
11,0.261
14,1.075
17,0.593
11,0.511
14,1.825
17,0.718
11,0.636
17,0.843
2,0.18
2,0.43
2,0.305
18,1.262
18,1.137
9,1.058
9,1.808
12,0.199
12,0.449
12,0.324
2,2.244
2,2.744
3,0.368
3,0.868
3,0.743
3,0.493
3,0.618
3,0.243
6,1.432
3,0.993
7,0.68
7,0.555
7,0.805
10,1.244
10,1.494
10,1.119
15,0.581
15,0.706
3,1.109
19,0.268
19,0.893
19,0.393
19,0.643
19,0.518
7,1.046
7,1.796
7,1.171
7,1.296
10,0.437
10,0.312
10,0.187
1,0.481
1,0.606
1,0.981
1,0.356
1,0.856
1,0.731
21,0.464
11,1.108
12,0.258
12,0.508
12,0.758
12,0.383
12,0.633
11,1.733
12,0.883
10,0.108
5,0.668
5,0.543
5,0.793
5,0.918
13,0.196
13,0.446
13,0.321
4,0.697
4,0.822
7,1.636
7,1.386
7,1.511
7,1.136
11,1.073
11,1.323
11,1.198
8,0.677
8,0.802
5,1.159
8,0.927
8,0.552
5,1.784
13,0.163
4,1.438
4,1.188
20,0.14
20,0.39
20,0.64
1,1.203
1,1.453
1,1.578
6,0.54
6,0.79
6,0.915
20,1.006
20,1.131
20,1.256
20,0.232
18,0.585
18,0.71
9,0.256
9,0.881
9,0.631
9,0.381
9,0.756
9,0.506
7,0.152
21,0.719
21,0.469
21,0.344
21,0.594
9,0.223
7,0.073
2,1.407
2,1.032
16,0.2
16,0.45
16,0.325
13,1.102
7,0.244
7,0.369
7,0.494
7,0.619
7,0.119
7,0.869
7,0.744
7,0.994
9,0.042
11,0.556
11,0.806
11,0.931
11,0.681
14,0.221
16,0.167
19,0.832
19,0.957
19,0.582
19,0.707
2,0.801
13,1.067
7,0.211
23,0.394
23,0.519
23,0.894
23,0.644
23,0.269
17,1.129
14,0.438
8,0.149
5,0.357
5,0.732
5,0.607
5,0.482
12,0.028
18,2.298
14,0.109
17,0.197
17,0.447
17,0.322
8,0.241
8,0.491
8,0.991
8,0.866
8,0.741
8,0.366
8,0.616
12,0.803
12,0.928
15,1.617
12,0.678
15,0.093
15,0.218
12,0.553
15,1.367
17,0.164
20,0.579
20,0.954
22,0.195
22,0.445
22,0.32
8,0.208
12,1.419
15,0.06
15,0.185
15,0.435
15,0.31
6,0.479
6,0.354
6,0.979
6,0.729
22,0.162
15,0.106
10,0.791
10,0.916
10,0.541
4,0.209
1,0.335
1,0.46
9,0.945
9,0.57
12,1.384
12,1.134
12,1.009
8,1.338
16,1.071
22,0.254
22,0.504
22,0.879
22,0.629
13,0.8
13,0.55
11,0.107
13,0.675
4,0.301
4,0.176
4,0.426
4,2.365
14,0.568
14,0.693
14,0.818
18,0.38
18,0.505
11,0.074
18,0.255
18,0.63
18,0.88
18,0.13
6,1.451
6,1.326
6,1.076
6,1.826
11,0.495
11,0.37
11,0.245
14,1.184
11,0.995
11,0.745
2,0.414
2,0.289
18,0.222
9,1.042
9,1.292
3,0.352
3,0.477
3,0.602
3,0.727
23,0.583
12,0.104
18,0.439
15,0.69
15,0.565
15,0.815
3,1.218
3,1.718
3,1.093
16,0.029
19,0.127
19,0.502
19,0.627
19,0.377
19,0.252
19,0.752
7,1.155
7,1.405
10,0.296
10,0.421
1,0.715
1,0.965
1,0.84
1,0.59
21,0.448
21,0.198
21,0.323
11,1.592
12,0.242
12,0.492
12,0.367
12,0.617
12,0.867
12,0.742
3,0.411
3,0.286
5,0.277
5,0.902
5,0.527
5,0.652
5,0.402
5,0.777
16,0.679
16,0.804
19,0.094
19,0.219
4,1.207
4,1.832
4,1.582
13,0.18
13,0.305
1,1.331
1,1.081
19,0.015
5,1.518
5,1.268
13,0.147
4,1.922
4,1.547
4,1.297
4,1.172
14,0.792
20,0.124
20,0.624
20,0.874
20,0.749
14,0.542
20,0.249
20,0.499
20,0.374
20,0.045
13,0.239
13,0.739
13,0.864
13,0.489
13,0.364
13,0.614
6,0.399
6,0.274
6,0.524
6,0.649
6,0.774
17,0.926
17,0.551
17,0.801
17,0.676
20,0.091
20,0.216
2,1.535
2,1.41
2,1.035
18,0.819
18,0.694
9,0.24
9,0.365
9,0.615
9,0.99
9,0.74
9,0.49
22,0.549
12,2.17
17,1.007
16,0.059
16,0.184
16,0.434
13,1.461
13,1.086
7,0.728
7,0.353
7,0.603
7,0.478
7,0.978
7,0.853
21,1.194
21,1.694
16,0.105
9,0.424
9,0.299
9,0.174
11,0.665
11,0.915
11,0.54
2,0.459
2,0.334
23,0.082
19,0.691
19,0.816
4,0.28
4,0.655
4,0.405
13,1.551
4,0.53
4,0.905
4,0.78
23,0.503
23,0.128
16,0.072
23,0.253
23,0.378
9,2.187
14,0.422
14,0.297
5,0.716
5,0.591
5,0.841
5,0.966
23,0.049
18,2.157
23,1.119
23,0.095
23,0.22
17,0.181
17,0.431
17,0.306
8,0.475
8,0.35
8,0.725
8,0.975
18,2.497
12,0.912
12,0.537
12,0.662
15,1.476
15,1.351
3,0.456
19,1.913
19,1.288
19,1.163
20,0.813
20,0.938
20,0.688
8,1.341
8,1.091
8,1.216
11,2.253
12,1.278
12,1.028
12,1.403
15,0.419
15,0.294
6,0.838
3,2.344
6,0.713
6,0.588
16,1.84
16,1.59
22,0.146
10,0.4
10,0.775
10,0.525
10,0.275
10,0.65
10,0.9
1,0.444
1,0.319
1,0.194
22,0.738
22,0.488
22,0.863
22,0.238
13,0.659
13,0.534
13,0.909
4,0.41
4,0.285
1,2.207
14,1.578
14,1.078
14,1.328
6,1.31
6,1.185
11,0.354
11,0.854
14,1.168
11,0.729
14,1.668
11,0.604
10,1.622
18,1.105
18,1.23
18,0.206
9,1.776
3,1.112
23,0.692
23,0.817
23,0.567
21,0.09
21,0.215
18,0.298
18,0.423
18,0.173
3,1.327
3,1.202
3,1.077
7,1.264
7,1.014
1,0.949
1,0.574
1,0.824
1,0.699
21,0.432
21,0.182
21,0.307
11,1.076
12,0.476
12,0.351
12,0.726
11,1.201
5,0.261
5,0.386
5,0.136
5,0.511
5,0.636
5,0.761
5,0.886
16,0.788
16,0.663
16,0.538
4,1.316
4,1.191
4,1.066
4,1.566
7,0.457
7,0.332
1,1.065
1,1.315
1,1.19
5,1.127
5,1.002
5,0.228
19,0.42
4,1.156
4,1.531
10,0.714
10,0.964
4,1.031
4,1.656
4,1.781
10,0.589
4,1.281
15,0.014
14,0.276
14,0.401
20,0.733
14,0.901
14,0.526
20,0.358
14,0.651
20,0.983
20,0.608
20,0.483
5,0.32
5,0.445
5,0.195
13,0.348
13,0.473
13,0.598
15,2.012
13,0.973
15,0.339
15,0.464
6,0.633
6,0.758
6,0.258
6,0.883
6,0.508
17,0.785
17,0.66
20,1.599
17,0.91
8,0.329
8,0.454
2,1.019
2,1.394
2,1.144
2,1.519
12,2.439
3,0.56
3,0.935
3,0.685
6,0.225
20,0.292
20,0.417
22,0.533
22,0.783
15,0.398
15,0.648
15,0.773
15,0.273
16,0.418
13,1.195
7,0.587
7,0.712
7,0.837
1,0.923
1,0.673
1,0.798
1,0.548
21,1.303
9,0.283
9,0.408
11,0.524
11,0.774
11,0.274
11,0.649
11,0.399
2,0.443
2,0.318
2,0.193
4,0.264
4,0.139
4,0.639
4,0.764
4,0.514
4,0.889
4,0.389
6,2.096
6,2.471
23,0.237
23,0.737
23,0.612
23,0.362
23,0.487
2,0.16
5,0.95
5,0.7
5,0.575
5,0.825
2,0.058
16,0.477
16,0.602
19,1.416
18,0.343
18,0.468
15,1.87
15,1.245
23,1.103
23,1.478
23,0.204
23,1.353
11,0.333
17,0.415
17,0.29
11,0.458
8,0.709
8,0.584
8,0.959
8,0.834
3,0.042
12,0.396
12,0.646
15,1.585
15,1.335
12,0.896
3,0.315
3,0.44
8,1.325
3,0.111
1,0.211
12,1.012
3,0.157
6,0.572
6,0.697
16,1.074
19,0.34
10,0.384
10,0.259
10,0.509
10,0.759
1,0.178
1,0.303
1,0.428
21,0.536
22,0.847
22,0.472
22,0.347
7,0.811
13,0.393
7,0.686
13,0.518
10,0.226
7,0.936
7,0.561
13,0.268
10,1.5
13,0.643
13,0.768
1,0.145
1,2.441
1,2.191
4,1.692
9,1.404
9,1.904
14,1.187
9,1.279
14,1.062
6,1.294
20,0.462
20,0.337
11,0.963
11,0.588
14,1.402
11,0.713
14,1.277
5,1.103
18,1.339
18,1.089
3,1.096
3,1.721
3,1.346
3,1.846
18,0.282
13,2.09
9,0.203
9,0.328
9,0.453
13,2.34
3,1.061
3,1.311
3,1.811
4,0.809
4,0.684
4,0.559
7,1.498
7,0.224
7,1.373
4,0.934
1,1.209
21,0.416
12,0.71
12,0.96
12,0.585
16,0.272
16,0.647
16,0.897
16,0.522
16,0.397
4,1.675
4,1.05
7,0.316
7,0.191
7,0.441
1,1.174
1,1.299
1,1.049
7,0.112
2,0.547
2,0.672
5,1.611
5,1.736
5,0.087
5,0.212
2,0.797
15,2.656
7,0.158
4,1.14
10,0.948
10,0.573
10,0.698
4,1.515
23,0.341
23,0.466
10,0.029
14,0.26
14,0.385
14,0.635
8,0.221
5,0.304
5,0.179
5,0.429
13,0.707
13,0.582
13,0.832
6,0.242
6,0.492
6,0.617
6,0.742
6,0.367
6,0.867
17,0.269
17,0.519
17,0.394
17,0.769
20,1.708
8,0.188
8,0.313
8,0.438
2,1.378
2,1.003
2,1.128
15,0.165
8,0.109
3,0.544
3,0.919
3,0.794
3,0.669
6,0.209
22,0.392
22,0.642
22,0.517
21,1.072
21,1.822
21,1.447
15,0.632
15,0.757
15,0.257
15,0.382
15,0.882
6,0.301
6,0.176
6,0.426
22,0.234
10,2.161
4,0.156
7,0.571
7,0.821
7,0.946
7,0.696
1,0.907
1,0.782
1,0.532
1,3.352
1,0.657
17,1.491
17,1.116
9,2.44
4,0.077
2,0.177
2,0.302
2,0.427
22,0.451
22,0.326
22,0.201
4,0.623
4,0.123
4,0.748
4,0.373
4,0.873
4,0.498
4,0.248
23,1.247
23,0.846
23,0.346
23,0.721
23,0.596
11,0.225
4,0.044
2,0.144
16,0.836
16,0.711
16,0.586
18,0.202
18,0.327
11,0.317
11,0.442
11,0.192
2,0.986
8,0.693
8,0.818
2,0.236
2,0.611
8,0.568
2,0.361
8,0.943
2,0.486
2,0.861
3,0.299
3,0.424
3,0.174
8,1.059
8,1.434
8,1.559
18,0.261
18,0.636
18,0.511
18,0.886
9,0.682
9,0.557
12,1.121
12,0.222
10,0.072
3,0.141
3,2.187
16,1.308
17,0.708
17,0.958
17,0.583
17,0.833
19,0.199
19,0.449
19,0.324
10,0.493
10,0.868
10,0.243
10,0.743
10,0.368
10,0.118
12,0.041
1,0.287
1,0.412
21,0.395
21,0.77
21,0.52
21,0.645
9,0.866
12,0.314
12,0.439
14,0.555
14,0.93
14,0.805
14,0.68
3,0.733
3,0.483
3,0.858
6,1.422
3,0.608
3,0.983
3,0.358
19,0.166
22,0.706
7,0.67
7,0.545
13,0.377
13,0.127
13,0.502
13,0.752
7,0.795
10,1.234
10,1.984
13,0.877
13,0.252
14,1.421
14,1.171
14,1.046
15,0.027
18,1.108
18,1.358
13,0.219
13,0.094
20,0.321
20,0.446
20,0.196
11,0.822
11,0.697
14,1.386
11,0.572
18,1.573
13,0.436
13,0.311
15,0.552
15,0.802
15,0.677
3,1.08
3,1.205
3,1.58
20,0.163
11,1.188
11,1.438
8,0.542
8,0.667
8,0.792
13,2.449
9,0.437
9,0.312
3,1.42
3,1.545
3,1.045
3,1.67
9,0.108
4,0.543
4,0.793
7,1.482
7,1.232
1,1.443
1,1.068
12,0.694
12,0.569
12,0.819
16,0.256
16,0.381
9,0.075
4,1.034
4,1.659
7,0.175
7,0.3
7,0.425
1,1.158
1,1.033
1,1.283
23,0.233
9,0.246
9,0.371
9,0.121
9,0.996
9,0.621
9,0.871
2,0.656
2,0.281
5,1.345
5,1.095
2,0.406
5,1.595
2,0.781
2,0.906
2,0.531
5,1.97
16,0.223
15,2.265
14,0.073
7,0.142
23,0.2
23,0.325
20,1.102
14,0.244
14,0.494
14,0.369
14,0.619
2,1.022
2,1.272
8,0.205
5,0.413
5,0.288
18,0.556
18,0.931
13,0.941
13,0.691
13,0.816
13,0.566
23,0.167
17,0.378
17,0.503
17,0.628
17,0.878
17,0.253
17,0.128
20,1.067
20,1.317
8,0.422
8,0.297
3,0.903
3,0.403
3,0.778
3,0.653
3,0.528
3,0.278
19,0.028
17,1.244
17,0.22
21,1.306
21,1.181
15,0.366
15,0.491
15,0.616
15,0.241
15,0.866
15,0.991
6,0.41
6,0.285
19,0.928
19,0.553
19,0.803
22,0.218
22,0.093
13,1.288
1,0.391
1,0.266
1,0.516
1,0.891
1,0.641
22,0.31
22,0.06
22,0.435
4,0.732
4,0.357
4,0.982
4,0.607
4,0.482
23,1.606
23,0.955
23,0.83
23,0.58
9,2.764
9,2.264
11,0.209
16,0.82
16,0.945
19,1.384
19,1.134
16,0.57
19,1.509
15,1.338
20,0.8
20,0.55
18,0.107
11,0.426
11,0.301
11,0.176
8,1.578
8,1.828
8,1.078
2,0.595
2,0.72
2,0.345
2,0.97
2,0.47
2,0.845
7,0.664
7,0.789
18,0.074
8,1.168
8,1.043
8,1.293
21,0.162
18,0.37
18,0.495
18,0.87
18,0.62
9,0.791
9,0.541
12,1.105
12,1.23
12,0.206
9,0.666
16,1.792
16,1.042
17,0.567
17,0.942
17,0.692
19,0.183
19,0.308
10,0.352
10,0.727
10,0.602
10,0.852
10,0.977
1,2.569
21,0.254
21,0.379
21,0.629
21,0.754
9,1.532
9,1.282
12,0.298
12,0.423
3,0.842
3,0.592
6,1.031
6,1.781
6,1.531
5,0.458
5,0.333
3,0.717
6,1.281
6,1.156
7,0.404
7,0.279
10,1.218
7,0.529
10,1.593
10,1.093
7,0.904
7,0.779
10,1.718
1,2.784
14,1.155
18,1.092
19,0.492
19,0.242
19,0.742
23,0.804
23,0.679
20,0.43
20,0.305
20,0.18
5,0.767
5,0.392
5,0.892
5,0.267
5,0.642
5,0.517
13,0.295
13,0.42
15,0.661
3,1.314
3,1.814
3,1.439
6,0.455
6,0.33
20,0.147
11,1.297
11,1.422
11,1.672
11,1.172
8,0.401
8,0.776
8,0.276
8,0.526
1,0.811
1,0.936
1,0.561
1,0.686
3,1.029
3,1.904
3,1.279
3,1.529
1,1.177
5,1.739
16,0.365
16,0.74
16,0.24
16,0.49
22,2.493
16,0.615
4,1.018
4,1.268
7,0.284
7,0.409
1,1.142
1,1.017
1,1.392
1,1.517
9,0.98
9,0.605
9,0.855
9,0.355
2,0.14
2,0.39
2,0.64
2,0.265
2,0.765
2,0.515
2,0.89
4,0.461
4,0.336
23,0.036
23,0.059
23,0.309
23,0.184
20,1.336
20,1.086
14,0.853
14,0.478
14,0.978
2,1.756
2,1.006
2,0.232
2,1.131
2,1.256
23,0.105
18,0.915
18,0.54
18,0.665
23,0.151
11,0.905
11,0.405
11,0.28
17,0.362
11,0.655
11,0.53
17,0.487
17,0.612
11,0.78
17,0.987
17,0.737
20,1.051
20,1.176
21,0.549
13,1.416
13,1.291
13,1.166
12,0.468
12,0.343
3,0.512
3,0.387
3,0.262
3,0.887
3,0.762
3,0.637
17,1.228
17,1.103
17,0.204
2,0.695
2,0.945
10,2.039
1,0.158
21,1.04
1,0.056
15,0.35
15,0.6
15,0.725
15,0.85
15,0.475
3,0.229
19,0.537
19,0.662
10,2.254
10,0.331
10,0.456
1,-0.0
1,0.875
1,0.125
1,0.625
1,0.5
1,0.25
1,0.375
1,0.75
21,1.88
5,0.812
5,0.562
5,0.687
22,0.294
22,0.419
13,0.465
13,0.34
4,0.716
4,0.841
4,0.591
10,2.469
23,1.465
23,1.09
7,2.646
7,2.021
3,2.475
20,0.534
20,0.784
20,0.909
11,0.285
8,1.437
8,1.187
2,0.704
2,0.579
2,0.954
2,0.829
11,2.599
12,1.749
12,1.124
12,1.249
6,0.559
6,0.809
6,0.934
3,2.69
6,0.684
8,1.277
18,0.479
18,0.354
18,0.604
18,0.729
9,0.525
9,0.275
9,0.4
12,1.839
9,0.775
16,1.651
10,1.112
10,0.586
10,0.711
10,0.836
21,0.238
9,1.266
12,0.282
12,0.407
3,0.576
3,0.701
6,1.015
19,3.081
7,0.138
7,0.263
7,0.763
7,0.388
10,1.202
7,0.638
10,1.327
7,0.513
7,0.888
10,1.952
5,0.113
21,0.205
14,1.014
14,1.139
5,0.159
5,0.057
18,1.076
19,0.351
19,0.601
19,0.851
18,1.201
19,0.476
23,0.538
11,1.316
11,1.066
14,0.332
14,0.457
8,0.168
5,0.126
5,0.501
5,0.251
5,0.751
5,0.376
5,0.876
5,0.626
13,2.202
3,1.173
3,1.048
3,1.798
6,0.439
6,0.314
17,0.466
17,0.341
11,1.281
11,1.656
11,1.031
11,1.156
7,1.11
8,0.385
8,0.26
8,0.885
8,0.635
8,0.76
8,0.51
7,1.61
7,1.485
6,0.11
1,0.92
1,0.545
1,0.67
1,0.795
22,0.014
13,2.667
6,0.156
20,0.348
20,0.473
20,0.723
20,0.598
20,0.848
22,0.339
22,0.464
6,0.077
1,1.536
1,1.036
1,1.161
15,0.329
15,0.454
5,1.473
6,0.123
6,0.623
6,0.373
6,0.498
6,0.748
6,0.873
16,0.974
16,0.849
16,0.724
16,0.599
16,0.349
4,1.627
10,0.56
10,0.935
4,1.877
1,1.251
1,1.126
1,1.001
1,1.376
9,0.839
9,0.589
2,0.124
2,0.374
2,0.624
2,0.249
2,0.499
2,0.749
2,0.874
2,0.999
19,2.154
4,0.195
4,0.32
4,0.445
2,0.045
23,0.293
14,0.712
14,0.837
14,0.587
2,1.24
2,1.365
2,1.115
2,0.091
2,0.216
16,0.283
16,0.408
12,2.535
18,0.524
18,0.399
17,1.622
17,1.122
17,1.747
17,1.497
11,0.514
17,0.721
17,0.846
11,0.264
11,0.639
11,0.889
17,0.471
17,0.346
17,0.596
11,0.389
2,0.183
2,0.433
2,0.308
13,1.025
12,0.202
12,0.327
12,0.452
3,0.246
3,0.371
3,0.121
3,0.621
3,0.871
3,0.746
3,0.496
3,0.996
17,1.462
17,1.337
22,1.37
1,0.142
21,1.274
21,1.524
15,0.709
15,0.584
3,0.088
3,0.213
10,0.042
19,0.396
19,0.771
22,1.085
19,0.646
19,0.271
10,0.44
10,0.315
1,0.359
1,0.484
1,0.609
1,0.859
21,0.467
12,0.886
12,0.261
12,0.636
12,0.511
15,1.075
12,0.386
10,0.111
5,0.671
5,0.546
5,0.796
19,1.012
13,0.199
13,0.324
10,0.157
4,0.7
4,0.575
4,0.825
4,0.95
23,1.199
10,0.078
8,0.555
8,0.805
13,0.166
23,1.164
20,0.643
20,0.268
20,0.393
20,0.893
20,0.768
8,1.046
8,1.421
8,1.296
8,1.171
2,0.688
2,0.563
16,1.029
12,1.233
13,0.258
13,0.633
13,0.758
6,0.543
6,0.918
6,0.668
8,1.636
8,1.011
1,2.322
18,0.588
18,0.713
9,0.259
9,0.509
12,1.323
12,1.573
9,0.634
9,0.384
6,1.784
6,1.159
6,1.034
10,1.096
10,1.221
21,0.347
21,0.972
21,0.847
21,0.472
9,1.25
9,1.0
9,0.226
9,1.625
9,1.5
9,1.125
7,0.076
16,0.203
16,0.328
16,0.453
7,0.247
7,0.372
7,0.997
7,0.122
7,0.622
7,0.872
10,1.686
7,0.747
11,0.809
11,0.934
11,0.559
11,0.684
7,0.043
5,0.143
19,0.96
19,0.585
19,0.71
4,0.549
4,0.674
7,1.113
7,1.363
7,0.089
7,0.214
7,1.488
4,0.799
4,0.924
23,0.272
23,0.522
23,0.397
23,0.647
11,1.925
11,1.55
11,1.05
11,1.425
14,0.441
14,0.316
5,0.235
5,0.61
5,0.735
5,0.485
5,0.36
5,0.86
8,0.073
3,1.907
3,1.282
17,0.325
17,0.2
17,0.45
11,1.015
11,1.14
11,1.39
8,0.869
8,0.244
8,0.369
8,0.494
8,0.994
12,0.556
12,0.931
12,0.806
12,0.681
15,0.221
17,0.167
20,0.582
20,0.957
1,1.145
1,1.27
1,1.02
15,0.438
5,1.207
6,0.607
1,0.013
6,0.732
6,0.482
6,0.357
5,1.332
5,1.082
6,0.982
13,0.028
15,0.109
4,1.361
10,0.919
10,0.669
4,1.236
4,0.212
10,0.544
4,0.087
10,0.794
1,0.338
1,0.463
9,0.573
9,0.698
9,0.823
22,0.757
22,0.382
22,0.257
22,0.507
13,0.553
13,0.803
11,0.11
13,0.928
4,0.304
4,0.179
4,0.429
13,0.678
20,1.179
11,0.156
14,0.571
14,0.946
2,1.849
2,1.099
16,2.19
13,1.919
13,1.294
18,0.383
18,0.258
11,0.077
18,0.633
4,0.146
18,0.508
18,0.758
18,0.883
17,1.356
11,0.123
11,0.748
11,0.373
11,0.248
11,0.623
11,0.498
11,0.873
2,0.417
2,0.292
11,0.044
13,1.134
3,0.355
3,0.855
3,0.73
3,0.48
3,0.605
23,0.711
23,0.586
12,0.107
21,1.258
21,1.008
21,0.234
18,0.317
18,0.442
15,0.818
15,0.693
15,0.568
19,0.88
19,0.38
12,0.074
14,2.143
19,0.505
19,0.255
10,0.299
1,0.593
1,0.968
1,0.843
1,0.718
21,0.201
21,0.326
21,0.451
12,0.37
12,0.995
12,0.495
12,0.12
15,1.184
12,0.62
15,1.059
12,0.245
3,0.414
3,0.289
5,0.405
5,0.28
5,0.655
5,0.53
5,0.78
16,0.682
16,0.807
19,1.246
16,0.932
19,0.222
10,0.141
23,1.433
13,0.104
19,0.439
19,0.314
23,1.523
23,1.273
23,1.148
14,0.795
20,0.377
20,0.627
20,0.252
20,0.752
20,0.127
20,0.502
14,0.67
8,1.03
8,1.155
12,1.467
13,0.242
13,0.492
13,0.367
12,1.967
12,1.842
13,0.867
13,0.617
6,0.652
6,0.402
6,0.277
6,0.902
6,0.777
22,0.027
17,0.679
17,0.804
17,0.554
20,0.094
20,0.219
5,2.477
20,0.015
18,0.822
18,0.572
18,0.697
9,0.493
9,0.618
12,1.682
9,0.368
9,0.868
9,0.243
6,1.018
6,1.643
6,1.768
6,1.268
10,1.58
